Date,Time,P1_T1,P1_H1,P2_T1,P2_H1,P3_T1,P3_H1,P1_T2,P1_H2,P2_T2,P2_H2,P3_T2,P3_H2,P1_T3,P1_H3,P2_T3,P2_H3,P3_T3,P3_H3,Status_T,Status_H
2026-06-25,11:55,36.5,81,,,,,29.8,76,,,,,25.9,79,,,,,29.6,80
2026-06-25,13:20,36.5,81,,,,,29.8,76,,,,,25.9,79,,,,,29.6,80
2026-06-25,16:26,37.8,77,,,,,30.6,79,,,,,25.9,79,,,,,29.6,80
2026-06-25,19:05,35.0,79,,,,,32.2,73,,,,,25.9,79,,,,,29.6,80
2026-06-25,21:44,36.2,81,,,,,32.8,83,,,,,25.7,68,,,,,29.6,80
2026-06-25,23:19,33.5,71,,,,,25.8,68,,,,,23.0,65,,,,,29.6,80
2026-06-26,03:51,33.5,80,,,,,25.3,69,,,,,23.0,65,,,,,35.7,85
2026-06-26,07:54,32.4,67,,,,,25.3,75,,,,,23.0,65,,,,,35.7,85
2026-06-26,10:53,33.1,67,,,,,25.3,73,,,,,24.7,67,,,,,35.7,85
2026-06-26,13:13,33.1,67,,,,,25.3,73,,,,,24.7,67,,,,,35.7,85
2026-06-26,16:18,33.0,82,,,,,26.3,85,,,,,24.7,67,,,,,35.7,85
2026-06-26,18:52,33.0,75,,,,,26.1,79,,,,,24.7,67,,,,,35.7,85
2026-06-26,20:47,31.9,80,,,,,25.9,77,,,,,24.7,67,,,,,35.7,85
2026-06-26,22:14,31.9,80,,,,,25.9,77,,,,,24.7,62,,,,,35.7,85
2026-06-27,00:09,26.3,70,,,,,24.7,62,,,,,24.7,61,,,,,31.3,84
2026-06-27,04:54,25.6,68,,,,,24.7,63,,,,,24.7,61,,,,,31.3,84
2026-06-27,07:50,25.7,75,,,,,24.7,65,,,,,24.7,61,,,,,31.3,84
2026-06-27,10:10,25.7,75,,,,,23.3,65,,,,,23.8,61,,,,,31.3,84
2026-06-27,12:09,25.6,76,,,,,23.3,66,,,,,23.8,61,,,,,31.3,84
2026-06-27,14:43,24.9,78,,,,,23.3,65,,,,,23.8,61,,,,,31.3,84
2026-06-27,16:05,24.9,78,,,,,23.3,65,,,,,23.8,61,,,,,31.3,84
2026-06-27,18:04,24.8,78,,,,,23.3,65,,,,,23.8,61,,,,,31.3,84
2026-06-27,20:08,24.8,78,,,,,23.3,65,,,,,23.8,61,,,,,31.3,84
2026-06-27,22:03,24.8,78,,,,,23.3,65,,,,,23.8,61,,,,,31.3,84
2026-06-28,00:04,24.3,67,,,,,23.8,61,,,,,25.6,79,,,,,25.7,74
2026-06-28,05:17,24.3,67,,,,,24.3,64,,,,,24.4,82,,,,,25.7,74
2026-06-28,08:53,24.1,67,,,,,24.3,66,,,,,24.4,82,,,,,25.7,74
2026-06-28,11:08,24.0,67,,,,,21.7,66,,,,,24.7,82,,,,,25.7,74
2026-06-28,13:48,24.0,67,,,,,23.2,66,,,,,24.7,82,,,,,25.7,74
2026-06-28,15:18,23.6,65,,,,,23.1,66,,,,,24.7,82,,,,,25.7,74
2026-06-28,17:13,23.1,66,,,,,22.9,68,,,,,24.7,82,,,,,25.7,74
2026-06-28,19:22,23.1,66,,,,,22.9,68,,,,,24.7,82,,,,,25.7,74
2026-06-28,21:02,23.7,66,,,,,23.7,67,,,,,24.4,80,,,,,25.7,74
2026-06-28,23:03,23.6,68,,,,,24.4,80,,,,,27.0,64,,,,,25.7,74
2026-06-29,04:03,24.7,69,,,,,24.4,80,,,,,27.0,64,,,,,24.1,71
2026-06-29,09:26,23.5,69,,,,,25.7,76,,,,,26.0,83,,,,,24.1,71
2026-06-29,14:05,23.3,72,,,,,25.0,76,,,,,26.0,83,,,,,24.1,71
2026-06-29,17:38,22.3,82,,,,,25.0,79,,,,,26.0,83,,,,,24.1,71
2026-06-29,19:59,22.3,82,,,,,25.0,79,,,,,26.0,83,,,,,24.1,71
2026-06-29,21:41,22.8,74,,,,,25.4,75,,,,,26.0,82,,,,,24.1,71
2026-06-29,22:59,22.8,71,,,,,25.4,75,,,,,26.0,82,,,,,24.1,71
2026-06-30,00:14,25.4,75,,,,,26.0,82,,,,,26.9,63,,,,,24.3,70
2026-06-30,05:04,24.3,77,,,,,26.0,80,,,,,26.9,63,,,,,24.3,70
2026-06-30,09:38,24.2,76,,,,,25.5,78,,,,,26.2,64,,,,,24.3,70
2026-06-30,12:09,24.4,74,,,,,25.5,77,,,,,26.2,64,,,,,24.3,70
2026-06-30,15:29,24.9,77,,,,,25.2,79,,,,,26.2,64,,,,,24.3,70
2026-06-30,17:55,24.5,76,,,,,25.1,80,,,,,26.2,64,,,,,24.3,70
